Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
LA SORGENTE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,GUGLIELMI,PAOLO,I,BS,MONTICHIARI,VIA BRESCIA,IS,"VIA BRESCIA,MONTICHIARI,BS,I",45.44048932126482,10.345671874071174
 LA SPERANZA - Associazione di Promozione Sociale,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CHAB,BOUCHAIB,I,MN,CASTEL GOFFREDO,VIA AUSTRIA,APS,"VIA AUSTRIA,CASTEL GOFFREDO,MN,I",45.28775090732559,10.468765664943488
LA SPERANZA COOPERATIVA SOCIALE DI SOLIDARIETA',IMPRESE SOCIALI,GALIMBERTI,MARCO,I,MB,VILLASANTA,VIA MASSIMO D'AZEGLIO,IS,"VIA MASSIMO D'AZEGLIO,VILLASANTA,MB,I",45.60456138992523,9.311961173470749
LA SPERANZA FAMILIARI VALONTARI E SIMPATIZZANTI DELLA FONDAZIONE CARD. GUSMINI O.D.V.,ORGANIZZAZIONI DI VOLONTARIATO,FANTINI,MARIA,I,BG,VERTOVA,VIA SAN CARLO,OV,"VIA SAN CARLO,VERTOVA,BG,I",45.806289804418945,9.8493250100124
LA SPERANZA ORGANIZZAZIONE DI VOLONTARIATO O ODV,ORGANIZZAZIONI DI VOLONTARIATO,BAGHDADI,AMAL,I,BS,BRESCIA,VIA DEI MILLE,OV,"VIA DEI MILLE,BRESCIA,BS,I",45.53655955674454,10.21084044026966
LA SPIGA - COOPERATIVA SOCIALE,IMPRESE SOCIALI,ORIALI,SIMONA,I,MB,MEDA,VIA ENRICO CIALDINI,IS,"VIA ENRICO CIALDINI,MEDA,MB,I",45.66151769211782,9.170551611805271
"""LA SPIGA COOPERATIVA SOCIALE - ONLUS"", VALIDAMENTE IDENTIFICATA IN SIGLA COME ""LA SPIGA COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA"" OPPURE ""LA SPIGA S.C.S.""",IMPRESE SOCIALI,NASCIMBENE,CATERINA,I,PV,PAVIA,VIA LANGOSCO,IS,"VIA LANGOSCO,PAVIA,PV,I",45.18306752381167,8.561888989590981
 LASQUOLACHEVOLA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TORRI,PAOLO,I,CO,COMO,VIA CAMPAGNA,APS,"VIA CAMPAGNA,COMO,CO,I",45.78996724609524,9.071985353941376
L'ASSOCIAZIONE DI PROMOZIONE SOCIALE SCOPRIVALTROMPIA,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BONTACCHIO,MOIRA JENNIFER,I,BS,PEZZAZE,TAVERNA,APS,"TAVERNA,PEZZAZE,BS,I",45.76275752146729,10.249468510045638
L'ASSO NELLA MANICA - AGGREGAZIONE SOCIALE SPECIAL OVER APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BONACINA,FAUSTO,I,LC,NIBIONNO,PIAZZA MARTIRI,APS,"PIAZZA MARTIRI,NIBIONNO,LC,I",45.74610856442428,9.270015625055002
"LA STANZA BLU. UNO SPAZIO PER IL DOLORE, UN TEMPO PER LA CRESCITA APS",ASSOCIAZIONI DI PROMOZIONE SOCIALE,DAL PRA',SABINA,I,CO,COMO,VIA BORGOVICO,APS,"VIA BORGOVICO,COMO,CO,I",45.81481652659559,9.067559993876234
LA STANZA DELL'ANIMA ETS,ALTRI ENTI DEL TERZO SETTORE,MARTINO,PASQUALE,I,MI,SOLARO,VIA VOLONTARI DEL SANGUE,AE,"VIA VOLONTARI DEL SANGUE,SOLARO,MI,I",45.61931696032528,9.084374423627974
LA STAZIONE SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,MOSSINI,GIORGIO,I,MN,CASTELLUCCHIO,VIA PRATO BERSAGLIO,IS,"VIA PRATO BERSAGLIO,CASTELLUCCHIO,MN,I",45.150497755393175,10.652024932554518
LA STECCA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SELIS,GIORGIO,I,CO,COMO,VIA A. GRANDI,APS,"VIA A. GRANDI,COMO,CO,I",45.8004040523551,9.085740725084559
LA STERLIZIA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,VACCARELLA,GIUSEPPINA,I,MI,MILANO,VIA ABETONE,IS,"VIA ABETONE,MILANO,MI,I",45.454675175918766,9.225427807726916
LA STRADA INSIEME - ODV,ORGANIZZAZIONI DI VOLONTARIATO,TERRAZZANI,ANTONIO,I,BG,PONTE SAN PIETRO,VIA SILVIO BONALUMI,OV,"VIA SILVIO BONALUMI,PONTE SAN PIETRO,BG,I",45.70089868302499,9.588867351221324
LA STRADA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,SBARAINI,GIACOMO GILBERTO,I,MI,MILANO,VIA GIOVANNI BATTISTA PIAZZETTA,IS,"VIA GIOVANNI BATTISTA PIAZZETTA,MILANO,MI,I",45.43490644890927,9.222100344141518
LA STRAVAGANZA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,D'AMICO,ANNA LISA,I,MI,RHO,VIA SANTORRE DI SANTAROSA C/O CONSOLETTI,APS,"VIA SANTORRE DI SANTAROSA C/O CONSOLETTI,RHO,MI,I",45.53554257141537,9.039375310136675
LA SUITE SOCIETA' COOPERATIVA SOCIALE A R.L. - ONLUS,IMPRESE SOCIALI,MILITANO,FEDERICO,I,VA,CUVEGLIO,VIA ACQETTE,IS,"VIA ACQETTE,CUVEGLIO,VA,I",45.90431414343579,8.725059387710749
"""LA SVEGLIA SOCIETA' COOPERATIVA SOCIALE"", VALIDAMENTE IDENTIFICATA IN SIGLA ANCHE COME ""LA SVEGLIA S.C.S. ONLUS""; ""LA SVEGLIA S.C.S.""",IMPRESE SOCIALI,COLOMBI,VALERIA,I,PV,VARZI,VIA MAZZA,IS,"VIA MAZZA,VARZI,PV,I",44.82199282055721,9.203968509858491
LA SVOLTA ODV,ORGANIZZAZIONI DI VOLONTARIATO,MARTELLI,GIOVANNI,I,MI,CINISELLO BALSAMO,VIA ALFONSO CASATI,OV,"VIA ALFONSO CASATI,CINISELLO BALSAMO,MI,I",45.55374639041511,9.220509058816125
LA SVOLTA-SPAZIO ASCOLTO UOMINI MALTRATTANTI ODV,ORGANIZZAZIONI DI VOLONTARIATO,CAMOLESE,MICHELE,I,BG,BERGAMO,VIA PIGNOLO,OV,"VIA PIGNOLO,BERGAMO,BG,I",45.69976485768196,9.674826805535224
LA TANA - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RABOLLI,CLAUDIA,I,VA,CASSANO MAGNAGO,VIA MARCO POLO,APS,"VIA MARCO POLO,CASSANO MAGNAGO,VA,I",45.57686958721693,8.823522226337133
LA TANA DEI SETTE GATTI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAGNONI,ELISA,I,PV,PAVIA,VIALE BLIGNY,APS,"VIALE BLIGNY,PAVIA,PV,I",45.1916340995641,9.160183038760433
LA TANA DEL LUPO APS ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,COLLISANO,CINZIA,I,PV,MENCONICO,VIA CAPOLUOGO,APS,"VIA CAPOLUOGO,MENCONICO,PV,I",44.79684022477969,9.27517331928927
LA TANA DI WOLFY - GERGOVIA A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PIAGGI,CLAUDIO,I,PV,RETORBIDO,VIA GUERRA,APS,"VIA GUERRA,RETORBIDO,PV,I",44.949420268388096,9.032391666488673
LA TARTARUGA CREMA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,MANTEGAZZA,MARCO BARTOLOMEO,I,CR,CREMA,LARGO UGO DOSSENA C/O OSPEDALE,OV,"LARGO UGO DOSSENA C/O OSPEDALE,CREMA,CR,I",45.35465201333031,9.680582405443861
LA TARTARUGA ODV ASSOCIAZIONE CREMONESE PARKINSON E DISTURBI DEL MOVIMENTO,ORGANIZZAZIONI DI VOLONTARIATO,CAVALLI,MARINA,I,CR,CREMONA,VIA GIOCONDA,OV,"VIA GIOCONDA,CREMONA,CR,I",45.13816299900948,10.025570903509204
LA TARTAVELA CREMA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,PILONI,MARIA STEFANIA,I,CR,CREMA,VIA B. DA TERNI,OV,"VIA B. DA TERNI,CREMA,CR,I",45.36158008213882,9.68274702227206
LA TARTAVELA ODV,ORGANIZZAZIONI DI VOLONTARIATO,VENTURA,RENATO,I,MI,MILANO,CORSO GARIBALDI,OV,"CORSO GARIBALDI,MILANO,MI,I",45.47494298107342,9.18349811763689
LA TARTUCA COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,GRAPPOLI,MARIA LINDA LUCIANA,I,MI,MILANO,VIA VARESINA,IS,"VIA VARESINA,MILANO,MI,I",45.49923765222647,9.14349455358095
LA TATA SOCIETA' COOPERATIVA SOCIALE IN LIQUIDAZIONE,IMPRESE SOCIALI,FRANZETTI,SILVIA,I,LC,COLICO,VIA NAZIONALE,IS,"VIA NAZIONALE,COLICO,LC,I",46.13796419602748,9.376227102541138
LA TAVOLA ITALIANA - ENTE DEL TERZO SETTORE,ALTRI ENTI DEL TERZO SETTORE,GORACCI,FRANCESCO FORTUNATO,I,MI,MILANO,CORSO DI PORTA VITTORIA,AE,"CORSO DI PORTA VITTORIA,MILANO,MI,I",45.46235241452827,9.204214936642268
LA TELA DI MATILDA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,LAZZERINI,ANNA,I,MI,CERRO AL LAMBRO,VIA GIOVANNI PAOLO II,IS,"VIA GIOVANNI PAOLO II,CERRO AL LAMBRO,MI,I",45.34222920175113,9.323185372449156
LA TELA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,ARZUFFI,GIOVANNI,I,MI,RESCALDINA,VIA BERNINA,IS,"VIA BERNINA,RESCALDINA,MI,I",45.6303309582315,8.933813906709574
LA TELA - SOCIETA' COOPERATIVA SOCIALE (IN FALLIMENTO),IMPRESE SOCIALI,GHIOZZI,ANDREA,I,CR,CREMA,VIA CARLO URBINO,IS,"VIA CARLO URBINO,CREMA,CR,I",45.35766256261329,9.681888377542341
LA TELA SOCIETA' COOPERATIVA SOCIALE IN LIQUIDAZIONE,IMPRESE SOCIALI,CRESPI,COSTANZA,I,LO,SANT'ANGELO LODIGIANO,VICOLO DELLE FRUTTA,IS,"VICOLO DELLE FRUTTA,SANT'ANGELO LODIGIANO,LO,I",45.2392046,9.4096447
LA TENDA AMATESE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,ARESA,MARCO,I,MI,PADERNO DUGNANO,VIA CORRIDORI,IS,"VIA CORRIDORI,PADERNO DUGNANO,MI,I",45.5734478196154,9.14311207895702
LA TENDA - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GOLFETTO,LUIGI,I,CO,CERMENATE,GARIBALDI,APS,"GARIBALDI,CERMENATE,CO,I",45.70126911827348,9.08246977254685
LA TENDA DI ABRAMO ODV,ORGANIZZAZIONI DI VOLONTARIATO,CASADEI,SANDRO,I,BS,BRESCIA,VIALE VENEZIA 116,OV,"VIALE VENEZIA 116,BRESCIA,BS,I",45.45092880979689,10.569592225630572
LA TENDA ODV,ORGANIZZAZIONI DI VOLONTARIATO,IANNANTUONI,CRISTINA GIUSEPPINA,I,MI,NOVATE MILANESE,VIA ROMA,OV,"VIA ROMA,NOVATE MILANESE,MI,I",45.53324032037468,9.140019161600339
LATERES ETS,ALTRI ENTI DEL TERZO SETTORE,CULOTTA,VALENTINA,I,MB,BRUGHERIO,VIA DEI MILLE,AE,"VIA DEI MILLE,BRUGHERIO,MB,I",45.547174663278376,9.31639205469325
LA TERRA DEI BAMBINI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,POZZOLI,ANDREA,I,MI,CERRO MAGGIORE,VIA DON C. GNOCCHI,APS,"VIA DON C. GNOCCHI,CERRO MAGGIORE,MI,I",45.59180094868659,8.964751812402422
LA TERRA NEL CUORE - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MONFREDINI,DANIELA,I,CR,SORESINA,VIA IV NOVEMBRE,APS,"VIA IV NOVEMBRE,SORESINA,CR,I",45.284751155086354,9.848854637017684
LA TORRE DELLO ZUCCARO - ODV,ORGANIZZAZIONI DI VOLONTARIATO,NEGRINI,RAFFAELLA,I,MN,MANTOVA,PIAZZA SORDELLO,OV,"PIAZZA SORDELLO,MANTOVA,MN,I",45.16059033619878,10.797230523339383
LA TORRE DEL SOLE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BELLINI,BERNARDO,I,BG,BREMBATE DI SOPRA,VIA CADUTI SUL LAVORO,APS,"VIA CADUTI SUL LAVORO,BREMBATE DI SOPRA,BG,I",45.71893156314259,9.582167797777652
LA TORRE NERA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MARGHERITTI,CLAUDIO,I,CR,CREMA,PIAZZA ISTRIA E DALMAZIA,APS,"PIAZZA ISTRIA E DALMAZIA,CREMA,CR,I",45.36231314303262,9.687707923798182
LA TORRETTA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,FERRARI,SERENELLA,I,PV,RIVANAZZANO TERME,VICOLO ARTURO TOSCANINI,IS,"VICOLO ARTURO TOSCANINI,RIVANAZZANO TERME,PV,I",44.925331880970305,9.012619176516587
LA TRIBU' DEI RUMORI-APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PIGOLI,LAURA,I,CR,CREMONA,VIA GIUSEPPINA,APS,"VIA GIUSEPPINA,CREMONA,CR,I",45.12350954855835,10.07212564970192
LA TRIBU' ODV,ORGANIZZAZIONI DI VOLONTARIATO,BOARIN,GINA,I,MI,ABBIATEGRASSO,VIALE MAZZINI,OV,"VIALE MAZZINI,ABBIATEGRASSO,MI,I",45.39896758411049,8.925221299936846
LA TRIBU' SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,BERNARDO,SIMONA DANIELA,I,MI,MILANO,VIA CALDERA,IS,"VIA CALDERA,MILANO,MI,I",45.476588228208605,9.09826397871807
LAURA SOLERA MANTEGAZZA ENTE DEL TERZO SETTORE,ALTRI ENTI DEL TERZO SETTORE,LASSINI,ROBERTO,I,MI,MILANO,VIA ARIBERTO,AE,"VIA ARIBERTO,MILANO,MI,I",45.45864164509223,9.173484948452206
LAURORA ASSISTENZA DOMICILIARE SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,BOCCIA,MARTINA,I,CR,CREMONA,VIA GIUSEPPINA,IS,"VIA GIUSEPPINA,CREMONA,CR,I",45.12350954855835,10.07212564970192
L'AURORA COOPERATIVA SOCIALE,IMPRESE SOCIALI,ZAPPA,CLAUDIO,I,BS,LUMEZZANE,VIA SANTA MARGHERITA,IS,"VIA SANTA MARGHERITA,LUMEZZANE,BS,I",45.6466868830423,10.275544427540117
L'AURORA COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS,IMPRESE SOCIALI,FRANZOSO,CINZIA,I,CO,DOMASO,PIAZZA DELLA CHIESA,IS,"PIAZZA DELLA CHIESA,DOMASO,CO,I",46.15266972607233,9.32905634017523
L'AURORA  COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS IN LIQUIDAZIONE COATTA AMMINISTRATIVA,IMPRESE SOCIALI,,,I,VA,TRADATE,VIA MONTE NEVOSO,IS,"VIA MONTE NEVOSO,TRADATE,VA,I",45.72189072326071,8.898687143538535
L'AURORA NELL'AUTISMO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,COMPIERCHIO,CHIARA,I,MI,RHO,VIA LUIGI CAPUANA,APS,"VIA LUIGI CAPUANA,RHO,MI,I",45.53582150744078,9.018990539578637
L'AURORA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,BONACINA,GRAZIELLA,I,BG,CARAVAGGIO,VIA SANT'UBERTO,OV,"VIA SANT'UBERTO,CARAVAGGIO,BG,I",45.514270692044654,9.67538510685936
L'AURORA OPERE EDUCATIVE COOPERATIVA SOCIALE,IMPRESE SOCIALI,SANVITO,MARIA LETIZIA,I,MI,CERNUSCO SUL NAVIGLIO,VIA MICHELANGELO BUONARROTI,IS,"VIA MICHELANGELO BUONARROTI,CERNUSCO SUL NAVIGLIO,MI,I",45.52185692884632,9.31191156124323
LA VAL DE IER - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VASSENA,MAURO,I,LC,VALMADRERA,VIA PREGUDA,APS,"VIA PREGUDA,VALMADRERA,LC,I",45.854024033673326,9.362991060679308
LA VALLE CON TE - ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,TAMENI,MARICLA,I,BS,SAREZZO,VIA PETRARCA,OV,"VIA PETRARCA,SAREZZO,BS,I",45.67278947145845,10.18649369295157
LA VALLE DEI LIBRI  S.R.L. - IMPRESA SOCIALE,IMPRESE SOCIALI,SCHIAVI,GIACOMO,I,MI,MILANO,VIA ROVANI,IS,"VIA ROVANI,MILANO,MI,I",45.46898181990008,9.169715341699893
LA VALLE DI EZECHIELE COOPERATIVA SOCIALE,IMPRESE SOCIALI,BONANOMI,ANNA,I,VA,BUSTO ARSIZIO,VIA PER CASSANO,IS,"VIA PER CASSANO,BUSTO ARSIZIO,VA,I",45.64401442835337,8.846629817214406
LA VALLE DI EZECHIELE ODV,ORGANIZZAZIONI DI VOLONTARIATO,BINDA,STEFANO,I,VA,BUSTO ARSIZIO,PIAZZA SANT'ANNA,OV,"PIAZZA SANT'ANNA,BUSTO ARSIZIO,VA,I",45.63300578488457,8.844484556579257
LAVANDERIA 5 STELLE SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,PALUMMO,ANGELINA,I,MB,CONCOREZZO,VIA LEVATI,IS,"VIA LEVATI,CONCOREZZO,MB,I",45.59659942443053,9.335775258952564
LA VARESE NASCOSTA ODV,ORGANIZZAZIONI DI VOLONTARIATO,MANCO,LUIGI ANTONIO,I,VA,VARESE,VIA VITTORIO VENETO,OV,"VIA VITTORIO VENETO,VARESE,VA,I",45.81723568721052,8.829234256319337
LA VARESINA EMERGENZA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,BUSANA,MARA,I,VA,MORNAGO,VIA SAN CARLO BORROMEO,IS,"VIA SAN CARLO BORROMEO,MORNAGO,VA,I",45.74492517164744,8.769862944187802
LA VECCHIA CASSAPANCA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,POZZI,ANNA ROSA,I,BG,OSIO SOPRA,VIA OLIVETTI,APS,"VIA OLIVETTI,OSIO SOPRA,BG,I",45.62918310068291,9.599234781974442
LA VELA DELL' ARCA ODV,ORGANIZZAZIONI DI VOLONTARIATO,SCOGNAMIGLIO,MARIO,I,CO,FINO MORNASCO,VIA LAGHETTO,OV,"VIA LAGHETTO,FINO MORNASCO,CO,I",45.74773730279307,9.06968275507431
LA VELA - SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,MARCHETTI,MONICA,I,BS,NAVE,VIA SAN FRANCESCO,IS,"VIA SAN FRANCESCO,NAVE,BS,I",45.580623146797365,10.277842715197897
LA VERDI MUSICA ARTE & SPETTACOLO A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LOVO,DAVIDE,I,VA,LONATE CEPPINO,VIA DON ALBERTARIO,APS,"VIA DON ALBERTARIO,LONATE CEPPINO,VA,I",45.70840117662429,8.873120914933448
L'AVETE FATTO A ME. COOPERAZIONE E SVILUPPO PER LA SALUTE NEI P.V.S. - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MARANESI,TEODORO PIO,I,MI,MILANO,VIA COPERNICO,APS,"VIA COPERNICO,MILANO,MI,I",45.48898639940794,9.202308963142608
LA VIA ASD APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAPPELLANO,GIANCARLO,I,MI,MILANO,VIA PAOLO MANTEGAZZA,APS,"VIA PAOLO MANTEGAZZA,MILANO,MI,I",45.50015741868584,9.149715313482776
LA VIA DI CASA - SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,ANTONIOLI,MONICA,I,VA,VERGIATE,VIA CASCINA CIABATTINO,IS,"VIA CASCINA CIABATTINO,VERGIATE,VA,I",45.73314389386863,8.726643344156965
LA VIGNA ANSPI APS-ETS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ATTI,LUCIANO,I,MN,CERESARA,PIAZZA GIACOMO MATTEOTTI,APS,"PIAZZA GIACOMO MATTEOTTI,CERESARA,MN,I",45.227774471542446,10.534104683100015
LA VIGNA - SOCIETA' COOPERATIVA SOCIALE - O.N.L.U.S.,IMPRESE SOCIALI,BORGA,ANTONIO,I,CO,TREMEZZINA,VIA MARTIRI DELLA PATRIA,IS,"VIA MARTIRI DELLA PATRIA,TREMEZZINA,CO,I",45.98340160190661,9.21842731954137
LA VITA IN DUE ASSOCIAZIONE DI PROMOZIONE SOCIALE O A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZEZET AGOU,MARIE CHANTAL,I,BS,BORGOSATOLLO,VIA SAN ANTONIO,APS,"VIA SAN ANTONIO,BORGOSATOLLO,BS,I",45.472282993797144,10.243526755234221
LA VITA SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,POZZI,GIOVANNI,I,MI,MILANO,VIA ADEODATO RESSI,IS,"VIA ADEODATO RESSI,MILANO,MI,I",45.49560149103687,9.206670486043311
LA VITTORIA - ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TENGATTINI,FRANCESCA,I,BS,ADRO,VIA CAROTA,APS,"VIA CAROTA,ADRO,BS,I",45.619970921617245,9.969136058227567
LAVORARE INSIEME COOPERATIVA SOCIALE,IMPRESE SOCIALI,MARI,VALERIO,I,BG,ALME',PASSAGGIO DELLA COSTITUZIONE,IS,"PASSAGGIO DELLA COSTITUZIONE,ALME',BG,I",45.69938514783288,9.649596766648129
LAVORATORI CREDENTI CENTRO DI SOLIDARIETA' DON PEPPINO - ODV,ORGANIZZAZIONI DI VOLONTARIATO,UCCELLINI,MARIO CARLO,I,LO,SOMAGLIA,VIA DELLE COSTE,OV,"VIA DELLE COSTE,SOMAGLIA,LO,I",45.17378589612143,9.659187202183162
LAVORATORI IMMIGRATI SENEGALESI DI MANERBIO - ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BOUSSO,ISSA,I,BS,MANERBIO,VIA INSURREZIONA NAZIONALE,APS,"VIA INSURREZIONA NAZIONALE,MANERBIO,BS,I",45.35398235574896,10.138606837329919
LAVORO E COOPERAZIONE SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,POPA,IRINEL,I,MI,MILANO,CORSO MAGENTA,IS,"CORSO MAGENTA,MILANO,MI,I",45.465732438706716,9.17849840723368
LAVORO E SOLIDARIETA' SOCIETA' COOPERATIVA SOCIALE IN FORMA ABBREVIATA LA.SOL. SO,IMPRESE SOCIALI,CECCARELLI,ANDREA,I,MB,MONZA,VIALE CAMPANIA,IS,"VIALE CAMPANIA,MONZA,MB,I",45.567723837510734,9.253578456907555
"""LAVORO PER"" - SOCIETA' COOPERATIVA SOCIALE - ONLUS",IMPRESE SOCIALI,TASSI,EMILIO,I,CR,CREMA,VIA OLIVETTI,IS,"VIA OLIVETTI,CREMA,CR,I",45.37210911319867,9.691555954247871
LA ZEBRA E IL CACTUS APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FOGLIANI,CHIARA,I,MI,SETTALA,VIA CERCA,APS,"VIA CERCA,SETTALA,MI,I",45.450874215135165,9.394366026472756
LA ZOLLA SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,ALAMIA,GIUSEPPE,I,MI,MILANO,VIA CARCANO GIULIO,IS,"VIA CARCANO GIULIO,MILANO,MI,I",45.43935457883477,9.180961312582202
LE 2 CITTA' ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CERNETTI,VALERIA,I,MI,MILANO,VIA CATTABENI,APS,"VIA CATTABENI,MILANO,MI,I",45.41408359790876,9.164325128851615
LE 3 QUERCE SOCIETA' COOPERATIVA SOCIALE ONLUS IN LIQUIDAZIONE,IMPRESE SOCIALI,CLERICI,ELISABETTA,I,MI,MILANO,VIA SACCARDO PIETRO ANDREA,IS,"VIA SACCARDO PIETRO ANDREA,MILANO,MI,I",45.48104556330671,9.24146595894063
LE 4 A (ASSOCIAZIONE AMICI DI ANDREA AZZONI),ORGANIZZAZIONI DI VOLONTARIATO,PICCINELLI,MATTEO,I,CR,CREMONA,VIA MIGLIARO,OV,"VIA MIGLIARO,CREMONA,CR,I",45.160692356686646,10.013417541735967
LE ACQUE COMPAGNIA TEATRALE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MELONCELLI,BEATRICE,I,BG,ALZANO LOMBARDO,VIA MONS. DON CESARE PATELLI,APS,"VIA MONS. DON CESARE PATELLI,ALZANO LOMBARDO,BG,I",45.73022868498511,9.729222131918668
LEAD THE FUTURE A.P.S.,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAPPONI,FRANCESCO,I,BS,BRESCIA,VIA CEFALONIA,APS,"VIA CEFALONIA,BRESCIA,BS,I",45.52671224847054,10.208128327973238
LEALI -APS ETS -,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SANTOPAOLO,BRUNO,I,MI,MAGENTA,VIA EUGENIO CURIEL,APS,"VIA EUGENIO CURIEL,MAGENTA,MI,I",45.458367051078525,8.881433479428823
LE ALI DELL'ANGELO ODV,ORGANIZZAZIONI DI VOLONTARIATO,GITTO,RITA,I,MI,BUCCINASCO,VIA LUIGI CADORNA,OV,"VIA LUIGI CADORNA,BUCCINASCO,MI,I",45.42027838668735,9.097728078347606
LE ALI DELLA SOLIDARIETA' APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BONANDRINI,LIDIA,I,BG,COLZATE,VIA ROMA,APS,"VIA ROMA,COLZATE,BG,I",45.81388902957991,9.85893165798246
LE ALI - FAMIGLIARI E AMICI PERSONE CON DISABILITA' APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SOLFRIZZO,FRANCESCA GIOVANNA,I,MI,BUSSERO,VIA SAN CARLO,APS,"VIA SAN CARLO,BUSSERO,MI,I",45.537900841114066,9.372361954009335
LE.AL. - LEGA ANTIVIVISEZIONISTA ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,PRAMPOLINI,GIAN MARCO,I,MI,MILANO,VIA SETTALA,OV,"VIA SETTALA,MILANO,MI,I",45.47968370470407,9.205367675014612
LEARTIPOSSIBILI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GIURIANI,FIORENZA,I,MI,MILANO,VIA GLUCK,APS,"VIA GLUCK,MILANO,MI,I",45.49323018587007,9.208813729613075
LE BELLE ARTI ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DEDORI,CAMILLO,I,MI,MILANO,VIA PRIVATA BATTISTA DE ROLANDI,APS,"VIA PRIVATA BATTISTA DE ROLANDI,MILANO,MI,I",45.49633548618124,9.143967246238134
LE BETULLE COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,MUTTONI,MONICA,I,LC,CREMENO,PIAZZA SANTA MARIA,IS,"PIAZZA SANTA MARIA,CREMENO,LC,I",45.927025191849,9.460171887068643
